~id,~label,generator_id:Int,value:String
customer-1,Customer,1,MT47RJAX31727QhekBWl41tCiW2b89N
customer-2,Customer,2,BA818878254814369892
customer-3,Customer,3,FR169072055289754oOPZ5y5931
customer-4,Customer,4,AZ17FQKQhHuSremmc9lciO07IxpD
customer-5,Customer,5,SI26027608051424603
customer-6,Customer,6,LI04628625ACU6h48qsF9
customer-7,Customer,7,ST14118796605531647734684
customer-8,Customer,8,EE738849926276682950
customer-9,Customer,9,IS606040909823492614095279
customer-10,Customer,10,SA056838zq4rV3Z0488zoNUV
customer-11,Customer,11,DK4348976756519152
customer-12,Customer,12,PT74650911009901897775166
customer-13,Customer,13,DK7216088183448232
customer-14,Customer,14,GT04i9szriqhn599Qzp30FAf5T3R
customer-15,Customer,15,RS11853275235565222261
customer-16,Customer,16,GB80MHLK25833390270976
customer-17,Customer,17,ME12486332985979223106
customer-18,Customer,18,TL244944880250248384482
customer-19,Customer,19,SI41082806391536524
customer-20,Customer,20,XK490746287122474306
customer-21,Customer,21,GT77JOpd34WMiLLDvw0Qo48Z93BL
customer-22,Customer,22,MK29407bL7uxQDAP603
customer-23,Customer,23,RO92JOKJf459rlI7XTCXJ7f3
customer-24,Customer,24,KW93HWMUnZT610lomuOvV81BalcIY5
customer-25,Customer,25,PL73830943838443446531441964
customer-26,Customer,26,SE2502378041259171267941
customer-27,Customer,27,ST75704959713671187624850
customer-28,Customer,28,MK90981K0m12eMjO826
customer-29,Customer,29,MT39QRUA91624R84a5J4979g17bw4tQ
customer-30,Customer,30,BH14OHLHgq10mMkh9ke4cg
customer-31,Customer,31,LB987766ROeK7mvdI5U2HRk07h8T
customer-32,Customer,32,BE09571884117675
customer-33,Customer,33,HR9743405071921780152
customer-34,Customer,34,NL03SMAA9110840760
customer-35,Customer,35,IT36H3257956154rR9PC01kezOl
customer-36,Customer,36,PK90KIMWtiOR4UsiNR1UWAAG
customer-37,Customer,37,LT616539558469538146
customer-38,Customer,38,MT37WKPH42622gJ2UHf62dW965L9NnI
customer-39,Customer,39,MT61HPYZ6512203rf02HoQCqnNqEI2o
customer-40,Customer,40,MC430095276843OP4K5SXk9vd80
customer-41,Customer,41,GT72ra1NL081xDrFAUN2e4dd1G9s
customer-42,Customer,42,IL838751887629172578675
customer-43,Customer,43,LB76733519d3lw7KntBIg7hCpH4f
customer-44,Customer,44,PK62TCPK3v5qsLBLGMcHD0yn
customer-45,Customer,45,SK2001461070193690148895
customer-46,Customer,46,AL2325551170UfgQ5JkwZsCHOhH8
customer-47,Customer,47,BG48HDZM334536a299htg3
customer-48,Customer,48,SM24R685272919340wF68cN6z8w
customer-49,Customer,49,SE3738599804153050818877
customer-50,Customer,50,LU84884FwQQcs2W0QjEf
customer-51,Customer,51,KW16DXUWmSf9jCY4W2TXd43UoPm28B
customer-52,Customer,52,PT98993319030609262090807
customer-53,Customer,53,CH0358845VBXFqc49Gk56
customer-54,Customer,54,FI6481163475795413
customer-55,Customer,55,UA71696830vUs986uO1c7yGV50Lco
customer-56,Customer,56,BE38351937400816
customer-57,Customer,57,PL19992608945655147529391103
customer-58,Customer,58,CY263076168424qIYG4OralN8QxW
customer-59,Customer,59,ST68546454830857469485417
customer-60,Customer,60,MD41q93E87erQ38HUA78k1uY
customer-61,Customer,61,MT60SRSK15239WpsnqB48p1d0b5KtO5
customer-62,Customer,62,QA62KWTUvc8ayPl5RBiOz71R3Cf3a
customer-63,Customer,63,CR2399093103283353963
customer-64,Customer,64,GI76LMBHQUl8P2szpSIOc78
customer-65,Customer,65,PL74038232273172912080920134
customer-66,Customer,66,CH28331893yLbOJgv3L76
customer-67,Customer,67,GE39GK6274373441863538
customer-68,Customer,68,MR4866367677947232810103215
customer-69,Customer,69,PT75312235030778479216949
customer-70,Customer,70,GR930397476jXMJv3m8h9U23W3q
customer-71,Customer,71,LT438804377336294897
customer-72,Customer,72,VG45CNOX8963417417408011
customer-73,Customer,73,SE5178439766392440926177
customer-74,Customer,74,AT414203847529116119
customer-75,Customer,75,KW46KJBXumfYZuUuaCH93e440uB4Q2
customer-76,Customer,76,MU90FKOW3423076598156500410GCJ
customer-77,Customer,77,CY78385795539C44jexO77JN37c6
customer-78,Customer,78,AT974736750754337108
customer-79,Customer,79,ME56904723771113307053
customer-80,Customer,80,MT85GGJX39252F85WSd2pJ0Ikt5BGqt
customer-81,Customer,81,BH45OKLG37Km65yb8924jK
customer-82,Customer,82,GR414434744q82Pqcj4UK82Ez2O
customer-83,Customer,83,GT137pJIE5lo0a5OPR5F17Fmdg7W
customer-84,Customer,84,CY3815413113NKfnNp08i2o19S3d
customer-85,Customer,85,KW87AULZD3ejv88H9AGic3BF28lmNn
customer-86,Customer,86,TL051345039726695681244
customer-87,Customer,87,IE79FCFY61497916412016
customer-88,Customer,88,AT121907633847251277
customer-89,Customer,89,SK6583448063037084657409
customer-90,Customer,90,HR9463451236123258860
customer-91,Customer,91,GR43226326743z2Qn3e1VzClS2N
customer-92,Customer,92,JO21YMPO6210t1m1mixf2UUZcL24SE
customer-93,Customer,93,GI06KKUZ9BOvt3CLJ7ojgRF
customer-94,Customer,94,IE74DOSA91055495876052
customer-95,Customer,95,GI90DRHNc3hLdnqCCW9I1No
customer-96,Customer,96,SI52376157793163559
customer-97,Customer,97,KZ12518U1e0yOxdQ3i0Q
customer-98,Customer,98,ST89022039464809600467029
customer-99,Customer,99,JO63YKXW906676wxq98PMT4aQc46SK
customer-100,Customer,100,AL7061153947UDvd8g88Z5nGo19B
