~id,~label,generator_id:Int,value:String
phone-301,Phone,301,1-204-035-6201
phone-302,Phone,302,891.331.5046
phone-303,Phone,303,1-418-752-9207
phone-304,Phone,304,(921) 061-2603
phone-305,Phone,305,106-808-6458
phone-306,Phone,306,1-017-679-8155
phone-307,Phone,307,1-780-524-7138
phone-308,Phone,308,1-521-512-7576
phone-309,Phone,309,1-906-328-8112
phone-310,Phone,310,836.668.9387
phone-311,Phone,311,1-392-752-5345
phone-312,Phone,312,1-607-583-4038
phone-313,Phone,313,495.890.1638
phone-314,Phone,314,330-428-3995
phone-315,Phone,315,(220) 708-3463
phone-316,Phone,316,716-021-9524
phone-317,Phone,317,(714) 866-5242
phone-318,Phone,318,394-570-2802
phone-319,Phone,319,285-308-1625
phone-320,Phone,320,427.058.3947
phone-321,Phone,321,1-366-272-3698
phone-322,Phone,322,(342) 825-5428
phone-323,Phone,323,295-281-1003
phone-324,Phone,324,(967) 727-7931
phone-325,Phone,325,612-962-7722
phone-326,Phone,326,216-380-9118
phone-327,Phone,327,118.524.6938
phone-328,Phone,328,391.823.6540
phone-329,Phone,329,978-199-0958
phone-330,Phone,330,620-157-7330
phone-331,Phone,331,213.197.5176
phone-332,Phone,332,1-973-619-5422
phone-333,Phone,333,038.310.9861
phone-334,Phone,334,755-099-0788
phone-335,Phone,335,(831) 213-8620
phone-336,Phone,336,861-993-1083
phone-337,Phone,337,1-712-481-0189
phone-338,Phone,338,(446) 938-1264
phone-339,Phone,339,1-854-608-8901
phone-340,Phone,340,166-765-2190
phone-341,Phone,341,1-311-709-5966
phone-342,Phone,342,400-151-0429
phone-343,Phone,343,140.607.5649
phone-344,Phone,344,793.717.8987
phone-345,Phone,345,096.857.6468
phone-346,Phone,346,1-112-925-9157
phone-347,Phone,347,(780) 240-3874
phone-348,Phone,348,(809) 827-5000
phone-349,Phone,349,403.649.9238
phone-350,Phone,350,(150) 086-8077
