~id,~label,generator_id:Int,value:String
token-251,PaymentToken,251,1211-1221-1234-2201
token-252,PaymentToken,252,1228-1221-1221-1431
token-253,PaymentToken,253,1212-1221-1121-1234
token-254,PaymentToken,254,1234-2121-1221-1211
token-255,PaymentToken,255,1212-1221-1121-1234
token-256,PaymentToken,256,1234-2121-1221-1211
token-257,PaymentToken,257,1234-2121-1221-1211
token-258,PaymentToken,258,1211-1221-1234-2201
token-259,PaymentToken,259,1228-1221-1221-1431
token-260,PaymentToken,260,1234-2121-1221-1211
token-261,PaymentToken,261,1212-1221-1121-1234
token-262,PaymentToken,262,1212-1221-1121-1234
token-263,PaymentToken,263,1234-2121-1221-1211
token-264,PaymentToken,264,1211-1221-1234-2201
token-265,PaymentToken,265,1234-2121-1221-1211
token-266,PaymentToken,266,1228-1221-1221-1431
token-267,PaymentToken,267,1228-1221-1221-1431
token-268,PaymentToken,268,1228-1221-1221-1431
token-269,PaymentToken,269,1212-1221-1121-1234
token-270,PaymentToken,270,1211-1221-1234-2201
token-271,PaymentToken,271,1212-1221-1121-1234
token-272,PaymentToken,272,1211-1221-1234-2201
token-273,PaymentToken,273,1234-2121-1221-1211
token-274,PaymentToken,274,1212-1221-1121-1234
token-275,PaymentToken,275,1211-1221-1234-2201
token-276,PaymentToken,276,1228-1221-1221-1431
token-277,PaymentToken,277,1228-1221-1221-1431
token-278,PaymentToken,278,1228-1221-1221-1431
token-279,PaymentToken,279,1212-1221-1121-1234
token-280,PaymentToken,280,1211-1221-1234-2201
token-281,PaymentToken,281,1228-1221-1221-1431
token-282,PaymentToken,282,1234-2121-1221-1211
token-283,PaymentToken,283,1234-2121-1221-1211
token-284,PaymentToken,284,1212-1221-1121-1234
token-285,PaymentToken,285,1212-1221-1121-1234
token-286,PaymentToken,286,1211-1221-1234-2201
token-287,PaymentToken,287,1228-1221-1221-1431
token-288,PaymentToken,288,1234-2121-1221-1211
token-289,PaymentToken,289,1228-1221-1221-1431
token-290,PaymentToken,290,1234-2121-1221-1211
token-291,PaymentToken,291,1212-1221-1121-1234
token-292,PaymentToken,292,1234-2121-1221-1211
token-293,PaymentToken,293,1228-1221-1221-1431
token-294,PaymentToken,294,1234-2121-1221-1211
token-295,PaymentToken,295,1212-1221-1121-1234
token-296,PaymentToken,296,1211-1221-1234-2201
token-297,PaymentToken,297,1234-2121-1221-1211
token-298,PaymentToken,298,1212-1221-1121-1234
token-299,PaymentToken,299,1228-1221-1221-1431
token-300,PaymentToken,300,1211-1221-1234-2201
